"Date(UTC)","UnixTimeStamp","Value"
"8/27/2021","1630022400","6419814"
"8/28/2021","1630108800","7679385"
"8/29/2021","1630195200","7052008"
"8/30/2021","1630281600","7805213"
"8/31/2021","1630368000","8178179"
"9/1/2021","1630454400","7936429"
"9/2/2021","1630540800","7903511"
"9/3/2021","1630627200","8001261"
"9/4/2021","1630713600","7517833"
"9/5/2021","1630800000","6932986"
"9/6/2021","1630886400","6935796"
"9/7/2021","1630972800","7124427"
"9/8/2021","1631059200","5992074"
"9/9/2021","1631145600","6209084"
"9/10/2021","1631232000","5570215"
"9/11/2021","1631318400","4622294"
"9/12/2021","1631404800","4568334"
"9/13/2021","1631491200","4875663"
"9/14/2021","1631577600","5270039"
"9/15/2021","1631664000","4931935"
"9/16/2021","1631750400","5372620"
"9/17/2021","1631836800","5226451"
"9/18/2021","1631923200","5765977"
"9/19/2021","1632009600","5516443"
"9/20/2021","1632096000","6203500"
"9/21/2021","1632182400","6093073"
"9/22/2021","1632268800","5848302"
"9/23/2021","1632355200","6475942"
"9/24/2021","1632441600","5766857"
"9/25/2021","1632528000","4714117"
"9/26/2021","1632614400","4957680"
"9/27/2021","1632700800","5178044"
"9/28/2021","1632787200","5165976"
"9/29/2021","1632873600","5660240"
"9/30/2021","1632960000","6317913"
"10/1/2021","1633046400","5596214"
"10/2/2021","1633132800","5612301"
"10/3/2021","1633219200","5603591"
"10/4/2021","1633305600","5835348"
"10/5/2021","1633392000","6564313"
"10/6/2021","1633478400","6414466"
"10/7/2021","1633564800","7816968"
"10/8/2021","1633651200","6139101"
"10/9/2021","1633737600","6045124"
"10/10/2021","1633824000","6270206"
"10/11/2021","1633910400","6947911"
"10/12/2021","1633996800","7366768"
"10/13/2021","1634083200","8429278"
"10/14/2021","1634169600","7766813"
"10/15/2021","1634256000","6974309"
"10/16/2021","1634342400","6078395"
"10/17/2021","1634428800","7022554"
"10/18/2021","1634515200","8093323"
"10/19/2021","1634601600","9126940"
"10/20/2021","1634688000","7812142"
"10/21/2021","1634774400","8824346"
"10/22/2021","1634860800","8146057"
"10/23/2021","1634947200","7447761"
"10/24/2021","1635033600","7160341"
"10/25/2021","1635120000","8331025"
"10/26/2021","1635206400","10000079"
"10/27/2021","1635292800","10608079"
"10/28/2021","1635379200","10841297"
"10/29/2021","1635465600","12074976"
"10/30/2021","1635552000","10354008"
"10/31/2021","1635638400","9281462"
"11/1/2021","1635724800","10031033"
"11/2/2021","1635811200","11133939"
"11/3/2021","1635897600","11298245"
"11/4/2021","1635984000","12181896"
"11/5/2021","1636070400","10458494"
"11/6/2021","1636156800","10586212"
"11/7/2021","1636243200","10346559"
"11/8/2021","1636329600","9961142"
"11/9/2021","1636416000","11189730"
"11/10/2021","1636502400","12161484"
"11/11/2021","1636588800","12179592"
"11/12/2021","1636675200","12178956"
"11/13/2021","1636761600","11493392"
"11/14/2021","1636848000","11588766"
"11/15/2021","1636934400","13101907"
"11/16/2021","1637020800","14758407"
"11/17/2021","1637107200","13140488"
"11/18/2021","1637193600","13805375"
"11/19/2021","1637280000","14165602"
"11/20/2021","1637366400","14608381"
"11/21/2021","1637452800","13994207"
"11/22/2021","1637539200","14310590"
"11/23/2021","1637625600","15293782"
"11/24/2021","1637712000","14952443"
"11/25/2021","1637798400","16262505"
"11/26/2021","1637884800","15902366"
"11/27/2021","1637971200","15354587"
"11/28/2021","1638057600","15275590"
"11/29/2021","1638144000","15299829"
"11/30/2021","1638230400","14831893"
"12/1/2021","1638316800","15103274"
"12/2/2021","1638403200","13079730"
"12/3/2021","1638489600","10906939"
"12/4/2021","1638576000","11038907"
"12/5/2021","1638662400","12399934"
"12/6/2021","1638748800","13279799"
"12/7/2021","1638835200","12662661"
"12/8/2021","1638921600","11402535"
"12/9/2021","1639008000","9329574"
"12/10/2021","1639094400","9553421"
"12/11/2021","1639180800","7062304"
"12/12/2021","1639267200","7571628"
"12/13/2021","1639353600","7324529"
"12/14/2021","1639440000","8139746"
"12/15/2021","1639526400","7532040"
"12/16/2021","1639612800","7908389"
"12/17/2021","1639699200","8183658"
"12/18/2021","1639785600","7244937"
"12/19/2021","1639872000","6193650"
"12/20/2021","1639958400","7608186"
"12/21/2021","1640044800","8749631"
"12/22/2021","1640131200","7812318"
"12/23/2021","1640217600","7572415"
"12/24/2021","1640304000","6614747"
"12/25/2021","1640390400","5821521"
"12/26/2021","1640476800","6578428"
"12/27/2021","1640563200","7242921"
"12/28/2021","1640649600","7065672"
"12/29/2021","1640736000","6816146"
"12/30/2021","1640822400","7268521"
"12/31/2021","1640908800","6501078"
"1/1/2022","1640995200","5866321"
"1/2/2022","1641081600","6324471"
"1/3/2022","1641168000","6864708"
"1/4/2022","1641254400","7501252"
"1/5/2022","1641340800","7684524"
"1/6/2022","1641427200","6983779"
"1/7/2022","1641513600","6624778"
"1/8/2022","1641600000","6191599"
"1/9/2022","1641686400","5574034"
"1/10/2022","1641772800","6627867"
"1/11/2022","1641859200","6214464"
"1/12/2022","1641945600","6228451"
"1/13/2022","1642032000","6310847"
"1/14/2022","1642118400","6650099"
"1/15/2022","1642204800","6131386"
"1/16/2022","1642291200","6097206"
"1/17/2022","1642377600","6183624"
"1/18/2022","1642464000","7121112"
"1/19/2022","1642550400","5949651"
"1/20/2022","1642636800","6669652"
"1/21/2022","1642723200","6989652"
"1/22/2022","1642809600","6872378"
"1/23/2022","1642896000","5264910"
"1/24/2022","1642982400","5954030"
"1/25/2022","1643068800","5820758"
"1/26/2022","1643155200","5967382"
"1/27/2022","1643241600","5836394"
"1/28/2022","1643328000","5259484"
"1/29/2022","1643414400","4909597"
